"filename", "language", "pip requirements", "Python", "JSON", "JSON with Comments", "Markdown", "comment", "blank", "total"
"c:\Users\Cerrebe\Documents\GitHub\Symbot\README.md", "Markdown", 0, 0, 0, 0, 2, 0, 1, 3
"c:\Users\Cerrebe\Documents\GitHub\Symbot\cogs\SymbotWS.code-workspace", "JSON with Comments", 0, 0, 0, 8, 0, 0, 0, 8
"c:\Users\Cerrebe\Documents\GitHub\Symbot\cogs\dev.py", "Python", 0, 47, 0, 0, 0, 4, 10, 61
"c:\Users\Cerrebe\Documents\GitHub\Symbot\cogs\kanji.py", "Python", 0, 69, 0, 0, 0, 4, 14, 87
"c:\Users\Cerrebe\Documents\GitHub\Symbot\cogs\media.py", "Python", 0, 309, 0, 0, 0, 4, 43, 356
"c:\Users\Cerrebe\Documents\GitHub\Symbot\cogs\misc.py", "Python", 0, 86, 0, 0, 0, 4, 16, 106
"c:\Users\Cerrebe\Documents\GitHub\Symbot\cogs\slash.py", "Python", 0, 320, 0, 0, 0, 4, 58, 382
"c:\Users\Cerrebe\Documents\GitHub\Symbot\config.json", "JSON", 0, 0, 0, 0, 0, 0, 1, 1
"c:\Users\Cerrebe\Documents\GitHub\Symbot\kanji.json", "JSON", 0, 0, 39268, 0, 0, 0, 0, 39268
"c:\Users\Cerrebe\Documents\GitHub\Symbot\main.py", "Python", 0, 69, 0, 0, 0, 7, 25, 101
"c:\Users\Cerrebe\Documents\GitHub\Symbot\requirements.txt", "pip requirements", 45, 0, 0, 0, 0, 0, 0, 45
"Total", "-", 45, 900, 39268, 8, 2, 27, 168, 40418
