kanji_key,kanji_char
Uno,一
Dos,二
Tres,三
Cuatro,四
Cinco,五
Seis,六
Siete,七
Ocho,八
Nueve,九
Diez,十
Boca,口
"Día, Sol",日
"Mes, Luna",月
Campo de arroz,田
Ojo,目
Viejo,古
Yo (psicológico),吾
Riesgo,冒
Compañera,朋
Claro,明
Cantar,唱
"Destello, Cristalización",晶
"Producto, Mercancía",品
"Columna vertebral, Espina dorsal",呂
Próspero,昌
Temprano,早
Sol naciente,旭
Generación,世
"Estómago, Barriga",胃
Amanecer,旦
"Vesícula biliar, Nervio",胆
"Atravesar, Ensanchar",亘
"Cóncavo, Hundido",凹
"Convexo, desigual",凸
Antigüedad,旧
Uno mismo (jibun),自
Blanco,白
Cien,百
"Centro, Dentro",中
Mil,千
Lengua,舌
"Caja para medir, Unidad de medida",升
Elevar,昇
"Redondo, Redondear",丸
Medida,寸
Especialidad,専
Dr.,博
Adivinación,占
Arriba,上
Abajo,下
Eminente,卓
Mañana,朝
"Único, Gratis",只
"Almeja, Concha",貝
Recto,貞
Empleado,員
Ver,見
Recién nacido,児
Principio,元
Página,頁
Tozudo,頑
Mediocre,凡
Derrota,負
Diez mil,万
Frase,句
"Piel, Textura",肌
Decamerón,旬
Cucharón,勺
"Diana, Propósito",的
Cuello,首
Entrañas de pescado,乙
Tumulto,乱
Directamente,直
Herramienta,具
Verdad,真
Fabricación,工
Izquierda,左
Derecha,右
Posesión,有
Soborno,賄
"Tributo, Impuestos",貢
Párrafo,項
Espada,刀
"Hoja, Filo",刃
Cortar,切
Seducir,召
Brillante,昭
Regla,則
Vice-,副
Separar,別
Calle,丁
Barrio,町
Posible,可
Cima,頂
Niño,子
"Confuncio, Cavidad",孔
Acabado,了
Mujer,女
Gustar,好
Parecido,如
Madre,母
Traspasar,貫
Hermano mayor,兄
Superar,克
Pequeño,小
Poco,少
Grande,大
Muchas,多
Noche,夕
Marea nocturna,汐
Exterior,外
Nombre,名
Piedra,石
Semejanza,肖
Nitrato,硝
Aplastar,砕
Arena,砂
Cepillar,削
Rayo,光
Gordo,太
Utensilio,器
Apestar,臭
Exquisito,妙
Reflexionar,省
Grueso (thicc),厚
Extraño,奇
Arroyo,川
Estado (pais),州
Obedecer,順
Agua,水
Hielo,氷
Eternidad,永
"Manantial, Fuente",泉
Prado,原
Petición,願
Nadar,泳
Pantano,沼
Mar abierto,沖
Riachuelo,江
Sopa,汁
Marea,潮
Origen,源
Animado,活
Extinguir,消
Por supuesto,況
Río,河
"Pernoctar, Alojarse",泊
Lago,湖
Sondear,測
Tierra,土
Escupir,吐
Presión,圧
Cabo,埼
Valla,垣
Joya cuadrada,圭
Sellar,封
Horizonte,涯
Templo Budista,寺
"Tiempo, Hora",時
"Nivelar, Promedio",均
Fuego,火
Inflamación,炎
Angustia,煩
Pálido,淡
Lámpara,灯
Plantación,畑
Desastre,災
Ceniza,灰
Punto,点
Iluminar,照
Pez,魚
Pescar (Con red/oficio),漁
Ri,里
Negro,黒
Tinta china/negra,墨
Carpa,鯉
Cantidad,量
Rin,厘
Enterrar,埋
El mismo,同
Cueva,洞
Tronco,胴
En frente de,向
Estimado,尚
Carácter/Letra,字
Proteger,守
Perfecto,完
Proclamar,宣
Anochezer,宵
Relajación,安
Banquete,宴
Acercarse,寄
Riqueza,富
Ahorros,貯
Árbol,木
Arboleda,林
Bosque,森
Katsura,桂
Roble,柏
Marco,枠
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
